"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","久保田","山形",16,18000000,"３ＬＤＫ",70,"2003年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","小白川町","山形","30分～60分",17000000,"３ＬＤＫ＋Ｓ",70,"2010年","ＳＲＣ","住宅","住宅","２中住専",60,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","十日町","山形",14,5500000,"３ＬＤＫ",60,"1979年","ＳＲＣ","住宅","住宅","商業",80,400,"2025年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","十日町","山形",14,3000000,"３ＬＤＫ",60,"1979年","ＳＲＣ","住宅","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","十日町","山形",10,53000000,"３ＬＤＫ",80,"2021年","ＲＣ","住宅","住宅","商業",80,500,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","十日町","山形",10,56000000,"３ＬＤＫ",70,"2021年","ＲＣ","住宅","住宅","商業",80,500,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","十日町","山形",9,11000000,"４ＬＤＫ",80,"1997年","ＳＲＣ","住宅","住宅","商業",80,500,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","十日町","山形",10,50000000,"４ＬＤＫ",95,"2021年","ＲＣ","住宅","住宅","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","銅町","北山形",19,7800000,"３ＤＫ",45,"1991年","ＳＲＣ","住宅","住宅","１種住居",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","七日町","山形",15,35000000,"３ＬＤＫ",65,"2021年","ＲＣ","住宅","住宅","商業",80,500,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","七日町","山形",19,56000000,"４ＬＤＫ",95,"2021年","ＲＣ","住宅","住宅","商業",80,500,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","東原町","山形",23,5800000,"２ＤＫ",45,"1991年","ＲＣ","住宅","住宅","２中住専",60,200,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","東原町","山形",23,5300000,"２ＤＫ",40,"1991年","ＲＣ","住宅","住宅","２中住専",60,200,"2025年第1四半期","改装済み",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","東山形","山形","30分～60分",6800000,"３ＬＤＫ",55,"1994年","ＲＣ","住宅","住宅","準住居",60,200,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","本町","山形",19,19000000,"３ＬＤＫ",80,"2002年","ＲＣ","住宅","住宅","商業",80,500,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","馬見ケ崎","羽前千歳",21,23000000,"３ＬＤＫ",75,"2005年","ＲＣ","住宅","住宅","準住居",60,200,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","緑町","山形","30分～60分",8300000,"３ＤＫ",65,"1988年","ＲＣ","住宅","住宅","近隣商業",80,300,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","06201","山形県","山形市","南二番町","山形",26,1600000,"４ＬＤＫ",75,"2000年","ＲＣ","住宅","住宅","準工業",60,200,"2025年第2四半期","未改装",""
"中古マンション等","成約価格情報","06202","山形県","米沢市","中央","米沢",25,10000000,"３ＬＤＫ",70,"1997年","ＲＣ","","","２種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","06202","山形県","米沢市","中央","米沢",26,1200000,"１ＤＫ",35,"1991年","ＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","06203","山形県","鶴岡市","本町","鶴岡","",3900000,"３ＬＤＫ",65,"1985年","鉄骨造","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","06203","山形県","鶴岡市","湯野浜","","",2500000,"２ＬＤＫ",50,"1983年","ＲＣ","","","","","","2025年第2四半期","",""
"中古マンション等","不動産取引価格情報","06203","山形県","鶴岡市","上畑町","鶴岡",14,17000000,"３ＬＤＫ",70,"2003年","ＳＲＣ","住宅","住宅","２種住居",60,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","06203","山形県","鶴岡市","錦町","鶴岡",3,24000000,"２ＬＤＫ",75,"2005年","ＲＣ","住宅","住宅","商業",80,400,"2025年第2四半期","改装済み",""
"中古マンション等","不動産取引価格情報","06203","山形県","鶴岡市","錦町","鶴岡",6,30000000,"２ＬＤＫ",55,"2024年","ＲＣ","住宅","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06203","山形県","鶴岡市","錦町","鶴岡",6,39000000,"３ＬＤＫ",75,"2024年","","住宅","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06203","山形県","鶴岡市","本町","鶴岡",24,14000000,"３ＬＤＫ",70,"2004年","ＲＣ","住宅","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06203","山形県","鶴岡市","本町","鶴岡",24,13000000,"３ＬＤＫ",70,"2004年","ＲＣ","住宅","住宅","商業",80,400,"2025年第1四半期","",""
"中古マンション等","不動産取引価格情報","06204","山形県","酒田市","大宮町","酒田","30分～60分",20000000,"４ＬＤＫ",80,"2003年","ＳＲＣ","住宅","住宅","準工業",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","06204","山形県","酒田市","東大町","酒田",26,16000000,"３ＬＤＫ",70,"2004年","ＲＣ","住宅","住宅","近隣商業",80,200,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","06204","山形県","酒田市","東大町","酒田",26,13000000,"２ＬＤＫ",55,"2004年","ＲＣ","住宅","住宅","近隣商業",80,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","06204","山形県","酒田市","日吉町","酒田",24,12000000,"３ＬＤＫ",65,"1997年","ＲＣ","住宅","住宅","商業",80,400,"2025年第2四半期","改装済み",""
"中古マンション等","成約価格情報","06207","山形県","上山市","宮脇","かみのやま温泉",25,12000000,"３ＬＤＫ",85,"1999年","ＲＣ","","","","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","06207","山形県","上山市","宮脇","かみのやま温泉","",13000000,"３ＬＤＫ",90,"1999年","ＲＣ","","","","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","06210","山形県","天童市","駅西","天童",3,15000000,"２ＬＤＫ",55,"2003年","ＲＣ","","","近隣商業","","","2025年第1四半期","",""
