"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","24201","三重県","津市","南丸之内","津新町",7,3500000,"３ＬＤＫ",60,"1983年","ＲＣ","","","１種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","西丸之内","津新町",5,27000000,"３ＬＤＫ",105,"2008年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","垂水","南が丘",11,8600000,"３ＬＤＫ",80,"2001年","ＲＣ","","","１低住専","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","西丸之内","津新町",5,31000000,"３ＬＤＫ",95,"2008年","鉄骨造","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","東丸之内","津新町",17,6500000,"４ＬＤＫ",90,"1990年","ＳＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24201","三重県","津市","東丸之内","津新町",18,8800000,"３ＬＤＫ",75,"1997年","ＳＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","一身田上津部田","津",16,23000000,"３ＬＤＫ",70,"2000年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第1四半期","改装済み",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","一身田上津部田","津",21,18000000,"４ＬＤＫ",80,"","ＲＣ","","住宅","１種住居",60,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","一身田上津部田","津",21,12000000,"２ＬＤＫ",75,"2000年","ＲＣ","住宅","住宅","１種住居",60,200,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","岩田","阿漕",8,16000000,"４ＬＤＫ",85,"2003年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第1四半期","",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","大谷町","津",3,25000000,"３ＬＤＫ",85,"2011年","ＲＣ","住宅","住宅","１種住居",60,200,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","上浜町","津",5,25000000,"４ＬＤＫ",90,"2002年","ＳＲＣ","住宅","住宅","１種住居",60,200,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","上浜町","津",9,39000000,"３ＬＤＫ",75,"2023年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","広明町","津",5,27000000,"３ＬＤＫ",70,"2010年","ＲＣ","住宅","住宅","近隣商業",80,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","栄町","津",4,19000000,"４ＬＤＫ",85,"2004年","ＲＣ","住宅","住宅","近隣商業",80,300,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","栄町","津",4,22000000,"３ＬＤＫ",75,"2004年","ＲＣ","住宅","住宅","近隣商業",80,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","桜橋","津",10,14000000,"３ＬＤＫ",80,"2002年","ＲＣ","住宅","住宅","商業",80,300,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","西丸之内","津新町",5,29000000,"３ＬＤＫ",70,"2008年","ＲＣ","住宅","住宅","商業",80,400,"2025年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","西丸之内","津新町",6,27000000,"３ＬＤＫ",100,"","ＲＣ","","住宅","商業",80,400,"2025年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","東丸之内","津新町",19,5700000,"４ＬＤＫ",80,"1990年","ＳＲＣ","住宅","","商業",80,500,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","久居新町","久居",1,6500000,"３ＬＤＫ",55,"1998年","ＳＲＣ","住宅","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","久居新町","久居",1,16000000,"３ＬＤＫ",70,"1998年","ＲＣ","","住宅","商業",80,400,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","久居新町","久居",1,14000000,"３ＬＤＫ",65,"1998年","ＲＣ","住宅","住宅","商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","久居持川町","久居",16,5500000,"３ＬＤＫ",65,"1995年","ＲＣ","住宅","","準工業",60,200,"2025年第2四半期","",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","藤方","南が丘",25,690000,"",65,"2004年","ＲＣ","住宅","住宅","１種住居",60,200,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","南が丘","南が丘",3,20000000,"３ＬＤＫ",80,"1999年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","南が丘","南が丘",28,25000000,"４ＬＤＫ",90,"1999年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第3四半期","",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","南が丘","南が丘",3,18000000,"",70,"2000年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","南が丘","南が丘",1,20000000,"３ＬＤＫ",85,"2000年","ＲＣ","住宅","住宅","１種住居",60,200,"2025年第1四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","南丸之内","津新町",3,17000000,"２ＬＤＫ",70,"2010年","ＲＣ","住宅","住宅","商業",80,400,"2025年第2四半期","未改装",""
"中古マンション等","不動産取引価格情報","24201","三重県","津市","南丸之内","津新町",3,31000000,"４ＬＤＫ",85,"2010年","ＲＣ","住宅","住宅","商業",80,400,"2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","鵜の森","近鉄四日市",7,21000000,"２ＬＤＫ＋Ｓ",80,"2003年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","鵜の森","近鉄四日市",9,35000000,"３ＬＤＫ",70,"2021年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","鵜の森","近鉄四日市",12,34000000,"２ＬＤＫ",90,"2016年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","九の城町","近鉄四日市",6,12000000,"３ＬＤＫ",70,"1988年","ＳＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","芝田","中川原",4,11000000,"４ＬＤＫ",80,"1999年","ＲＣ","","","２種住居","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","富士町","霞ケ浦",9,11000000,"３ＤＫ",55,"1993年","ＲＣ","","","準工業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","元新町","近鉄四日市",16,9000000,"３ＬＤＫ",80,"1990年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","久保田","近鉄四日市",13,25000000,"３ＬＤＫ＋Ｓ",90,"2006年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","諏訪栄町","近鉄四日市",6,56000000,"３ＬＤＫ",80,"2022年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","諏訪栄町","近鉄四日市",3,34000000,"３ＬＤＫ",75,"2008年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","諏訪町","近鉄四日市",8,24000000,"４ＬＤＫ",85,"2001年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","諏訪町","近鉄四日市",9,20000000,"３ＬＤＫ",65,"1996年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","諏訪町","近鉄四日市",10,13000000,"３ＬＤＫ",75,"1996年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","諏訪町","近鉄四日市",10,13000000,"２ＬＤＫ",60,"1996年","ＳＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","中部","近鉄四日市",12,8300000,"３ＬＤＫ",70,"1991年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","富田","近鉄富田",4,28000000,"３ＬＤＫ",95,"2012年","ＲＣ","","","商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","鵜の森","近鉄四日市",14,18000000,"３ＬＤＫ",75,"1999年","ＳＲＣ","","","近隣商業","","","2025年第1四半期","",""
