"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","18201","福井県","福井市","開発","越前開発",13,37000000,"３ＬＤＫ",100,"2009年","ＲＣ","","","準工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","高木中央","越前新保",26,28000000,"３ＬＤＫ",80,"2007年","ＲＣ","","","準工業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","中央","足羽山公園口",5,5500000,"４ＬＤＫ",80,"1975年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","中央","福井城址大名町",7,30000000,"２ＬＤＫ",75,"2006年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","豊島","福井(福井)",8,5000000,"２ＤＫ",45,"1989年","ＲＣ","","","近隣商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","高木中央","越前新保",26,35000000,"２ＬＤＫ",80,"2007年","ＲＣ","","","準工業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","中央","福井(福井)",1,52000000,"３ＬＤＫ",95,"2016年","ＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","西方","","",23000000,"３ＬＤＫ",75,"2008年","ＲＣ","","","１種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","西谷","花堂",10,5000000,"４ＤＫ",65,"1990年","ＳＲＣ","","","工業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","町屋","まつもと町屋",3,16000000,"３ＬＤＫ",70,"1989年","ＲＣ","","","１種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","北四ツ居","越前開発",12,20000000,"４ＬＤＫ",85,"2007年","ＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","18201","福井県","福井市","西開発","まつもと町屋",13,8000000,"３ＤＫ",55,"1989年","ＲＣ","","","準工業","","","2025年第1四半期","",""
