"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","扇町","高松(香川)",12,15000000,180,"不整形",6,95,"1991年","軽量鉄骨造","共同住宅","住宅","南東","市道",6,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","太田上町","太田(高松)",2,95000000,1300,"長方形",46.5,1200,"1993年","鉄骨造","共同住宅","住宅","西","市道",5.2,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","37201","香川県","高松市","太田上町","太田(高松)",18,110000000,1200,"長方形",36,1300,"1991年","ＲＣ","共同住宅","その他","東","県道",9.5,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","37201","香川県","高松市","太田上町","太田(高松)",2,20000000,130,"長方形",7,100,"1991年","ＲＣ","共同住宅","住宅","北","県道",8,"近隣商業",80,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","太田上町","太田(高松)",11,35000000,135,"長方形",8.5,100,"2025年","木造","住宅","住宅","南","私道",5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","太田上町","太田(高松)",15,32000000,400,"不整形",43,140,"1981年","木造","住宅","住宅","西","道路",4.5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","太田上町","仏生山",18,26000000,180,"ほぼ整形",12.1,105,"2025年","木造","住宅","住宅","南","道路",4,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","太田下町","太田(高松)",7,2200000,135,"長方形",8.2,120,"1968年","木造","住宅","住宅","北","市道",4.2,"１低住専",60,100,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","太田下町","太田(高松)",18,33000000,210,"不整形",12.9,100,"2024年","木造","住宅","住宅","北","市道",5,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","太田下町","太田(高松)",14,5000000,165,"長方形",10,130,"1985年","木造","住宅","住宅","西","市道",3,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","太田下町","太田(高松)",15,10000000,220,"ほぼ長方形",13.5,100,"1986年","木造","住宅","住宅","北","村道",4.2,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","太田下町","太田(高松)",10,39000000,140,"ほぼ長方形","",105,"2023年","木造","住宅","住宅","西","私道",4,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","太田下町","伏石",10,39000000,210,"長方形",12,105,"2025年","木造","住宅","住宅","北","市道",5.2,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","37201","香川県","高松市","太田下町","伏石",6,23000000,230,"長方形",15,210,"2005年","木造","住宅","住宅","西","県道",9.5,"２種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","37201","香川県","高松市","太田下町","伏石",2,24000000,320,"長方形",19.6,165,"1984年","木造","住宅","事務所","南","国道",40,"準工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","岡本町","岡本(高松)",10,41000000,260,"ほぼ長方形",19,120,"2025年","","","住宅","南東","私道",6,"非線引き",60,100,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","岡本町","岡本(高松)",19,14000000,230,"ほぼ長方形",13,110,"2010年","木造","住宅","住宅","北","私道",6,"非線引き",60,100,"2024年第4四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","香川町浅野","空港通り",24,18000000,210,"長方形",17,75,"2025年","木造","住宅","住宅","北","市道",4,"２低住専",60,100,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","香川町浅野","空港通り","30分～60分",14000000,250,"長方形",11.6,135,"2002年","木造","住宅","住宅","南東","私道",6,"非線引き",70,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","香川町浅野","空港通り","1H～1H30",2200000,130,"長方形",8,90,"1978年","木造","住宅","住宅","南西","私道",5,"２種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","香川町浅野","空港通り",21,14000000,220,"正方形",15,160,"1985年","軽量鉄骨造","住宅","住宅","北","市道",6,"２低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","香川町浅野","仏生山","30分～60分",5000000,150,"長方形",11,95,"1992年","木造","住宅","住宅","南","私道",4,"非線引き",70,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","香川町浅野","仏生山","30分～60分",3000000,220,"ほぼ台形",16.5,65,"1976年","木造","住宅","住宅","東","市道",6.5,"２低住専",60,100,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","香川町浅野","仏生山","30分～60分",7500000,190,"ほぼ台形",14,160,"1995年","軽量鉄骨造","住宅","その他","北西","市道",7,"２種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","香川町大野","一宮",20,4000000,115,"長方形",9.3,90,"1980年","木造","住宅","住宅","東","私道",4,"２中住専",60,200,"2025年第3四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","香川町大野","空港通り","30分～60分",12000000,390,"ほぼ長方形",25,110,"1976年","木造","住宅","住宅","東","市道",6.8,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","37201","香川県","高松市","香川町川内原","空港通り","1H～1H30",2700000,200,"ほぼ正方形",14,105,"1989年","木造","住宅","住宅","北","市道",6.5,"１低住専",60,100,"2025年第3四半期",""
